pair,strategy,accuracy,transactions,totol,annual,sharp
600033&601188,history+,0.5289256198347108,"[(0.057499736069290951, '2016-01-04', '2016-01-11', 'l'), (0.031172174944771334, '2016-01-28', '2016-03-02', 'l'), (-0.12326357152328735, '2016-03-04', '2016-12-30', 'l')]",-0.043950221741368534,-0.04690593840818571,-0.10465734852913436
600033&601188,garch+,0.5289256198347108,"[(0.057499736069290951, '2016-01-04', '2016-01-11', 'l'), (0.0057821068643470717, '2016-01-19', '2016-02-25', 'l'), (0.018368304599246252, '2016-03-04', '2016-03-16', 'l'), (-0.112728624389693, '2016-08-02', '2016-12-30', 'l')]",-0.038951029763708234,-0.06901517409589081,-0.11526631685413177
600033&601188,history+model,0.5289256198347108,"[(0.057499736069290951, '2016-01-04', '2016-01-11', 'l'), (0.031172174944771334, '2016-01-28', '2016-03-02', 'l'), (-0.12326357152328735, '2016-03-04', '2016-12-30', 'l')]",-0.043950221741368534,-0.04690593840818571,-0.10465734852913436
600033&601188,garch+model,0.5289256198347108,"[(0.057499736069290951, '2016-01-04', '2016-01-11', 'l'), (0.0057821068643470717, '2016-01-19', '2016-02-25', 'l'), (0.018368304599246252, '2016-03-04', '2016-03-16', 'l'), (-0.112728624389693, '2016-08-02', '2016-12-30', 'l')]",-0.038951029763708234,-0.06901517409589081,-0.11526631685413177
300033&300059,history+,0.5042016806722689,"[(-0.18382062422919079, '2016-01-08', '2016-12-30', 'l')]",-0.18382062422919077,-0.18793985390379447,-5.688049056103983
300033&300059,garch+,0.5042016806722689,"[(0.2413875139577594, '2016-01-05', '2016-12-30', 'l')]",0.24138751395775948,0.2447401183182839,6.008185217236672
300033&300059,history+model,0.5042016806722689,"[(-0.18382062422919079, '2016-01-08', '2016-12-30', 'l')]",-0.18382062422919077,-0.18793985390379447,-5.688049056103983
300033&300059,garch+model,0.5042016806722689,"[(0.2413875139577594, '2016-01-05', '2016-12-30', 'l')]",0.24138751395775948,0.2447401183182839,6.008185217236672
601377&601555,history+,0.5252100840336135,"[(0.046445157926881704, '2016-01-07', '2016-04-19', 'l'), (0.0033964310814214916, '2016-06-20', '2016-12-30', 'l')]",0.049999336786267445,0.06165458759117438,0.7325214145149702
601377&601555,garch+,0.5252100840336135,"[(0.065142960764591293, '2016-01-07', '2016-06-08', 'l'), (-0.034577425167643817, '2016-06-14', '2016-12-30', 'l')]",0.028313059745910918,0.029358712520617856,0.2570031902340163
601377&601555,history+model,0.5252100840336135,"[(0.046445157926881704, '2016-01-07', '2016-04-19', 'l'), (0.0033964310814214916, '2016-06-20', '2016-12-30', 'l')]",0.049999336786267445,0.06165458759117438,0.7325214145149702
601377&601555,garch+model,0.5252100840336135,"[(0.065142960764591293, '2016-01-07', '2016-06-08', 'l'), (-0.034577425167643817, '2016-06-14', '2016-12-30', 'l')]",0.028313059745910918,0.029358712520617856,0.2570031902340163
601398&601939,history+,0.5081967213114754,"[(0.018450774838417016, '2016-02-29', '2016-11-14', 'l')]",0.01845077483841706,0.026002057204719025,0.7059177518620174
601398&601939,garch+,0.5081967213114754,"[(0.0061148098045554593, '2016-02-25', '2016-07-18', 'l')]",0.006114809804555366,0.015499344296268806,0.4233555042976178
601398&601939,history+model,0.5081967213114754,"[(0.018450774838417016, '2016-02-29', '2016-11-14', 'l')]",0.01845077483841706,0.026002057204719025,0.7059177518620174
601398&601939,garch+model,0.5081967213114754,"[(0.0061148098045554593, '2016-02-25', '2016-07-18', 'l')]",0.006114809804555366,0.015499344296268806,0.4233555042976178
002366&300011,history+,0.5294117647058824,"[(0.054955704565222044, '2016-01-22', '2016-01-25', 'l'), (0.058792739021468303, '2016-01-28', '2016-05-10', 'l'), (-0.058206200399059785, '2016-06-08', '2016-12-30', 'l')]",0.05196431085765796,0.060987052935836505,0.09105690093490698
